Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2020,Obim tereta (tonski kilometri),T_KM,Zračni,0.0
2018,Obim tereta (tonski kilometri),T_KM,Unutrašnji plovni put,
2019,Obim tereta (tonski kilometri),T_KM,Unutrašnji plovni put,
2018,Obim tereta (tonski kilometri),T_KM,Željeznički,
2019,Obim tereta (tonski kilometri),T_KM,Željeznički,
2020,Obim tereta (tonski kilometri),T_KM,Željeznički,
2018,Obim tereta (tonski kilometri),T_KM,Cestovni,
2019,Obim tereta (tonski kilometri),T_KM,Cestovni,
2020,Obim tereta (tonski kilometri),T_KM,Cestovni,
2019,Obim putnika (putnički kilometri),P_KM,Zračni,7353050.0
2020,Obim putnika (putnički kilometri),P_KM,Zračni,1812510.0
2018,Obim putnika (putnički kilometri),P_KM,Željeznički,
2019,Obim putnika (putnički kilometri),P_KM,Željeznički,
2020,Obim putnika (putnički kilometri),P_KM,Željeznički,
2018,Obim putnika (putnički kilometri),P_KM,Cestovni,
2019,Obim putnika (putnički kilometri),P_KM,Cestovni,
2020,Obim putnika (putnički kilometri),P_KM,Cestovni,
