Year,SERIES,UNIT_MEASURE,Spol,Value
2000,SH_STA_MORT,Na 100 000 živorođenih,Žene,15.6034
2001,SH_STA_MORT,Na 100 000 živorođenih,Žene,14.2898
2002,SH_STA_MORT,Na 100 000 živorođenih,Žene,15.0449
2003,SH_STA_MORT,Na 100 000 živorođenih,Žene,12.2422
2004,SH_STA_MORT,Na 100 000 živorođenih,Žene,11.3348
2005,SH_STA_MORT,Na 100 000 živorođenih,Žene,11.4677
2006,SH_STA_MORT,Na 100 000 živorođenih,Žene,10.0616
2007,SH_STA_MORT,Na 100 000 živorođenih,Žene,9.1508
2008,SH_STA_MORT,Na 100 000 živorođenih,Žene,8.2064
2009,SH_STA_MORT,Na 100 000 živorođenih,Žene,7.5434
2010,SH_STA_MORT,Na 100 000 živorođenih,Žene,7.6904
2011,SH_STA_MORT,Na 100 000 živorođenih,Žene,7.8149
2012,SH_STA_MORT,Na 100 000 živorođenih,Žene,6.9029
2013,SH_STA_MORT,Na 100 000 živorođenih,Žene,7.5563
2014,SH_STA_MORT,Na 100 000 živorođenih,Žene,8.301
2015,SH_STA_MORT,Na 100 000 živorođenih,Žene,7.4017
2016,SH_STA_MORT,Na 100 000 živorođenih,Žene,6.4276
2017,SH_STA_MORT,Na 100 000 živorođenih,Žene,5.9328
2018,SH_STA_MORT,Na 100 000 živorođenih,Žene,5.5475
2019,SH_STA_MORT,Na 100 000 živorođenih,Žene,5.3941
2020,SH_STA_MORT,Na 100 000 živorođenih,Žene,5.6684
