Year,SERIES,UNIT_MEASURE,Value
2010,Indeks potrošačkih cijena hrane,Index,-1.13
2011,Indeks potrošačkih cijena hrane,Index,0.41
2012,Indeks potrošačkih cijena hrane,Index,-0.19
2013,Indeks potrošačkih cijena hrane,Index,-0.42
2014,Indeks potrošačkih cijena hrane,Index,-0.59
2015,Indeks potrošačkih cijena hrane,Index,-0.025
2016,Indeks potrošačkih cijena hrane,Index,-0.04
2017,Indeks potrošačkih cijena hrane,Index,0.31
2018,Indeks potrošačkih cijena hrane,Index,-0.59
2019,Indeks potrošačkih cijena hrane,Index,0.31
2020,Indeks potrošačkih cijena hrane,Index,1.12
2021,Indeks potrošačkih cijena hrane,Index,0.77
