Year,SERIES,UNIT_MEASURE,Vrsta proizvoda,Value
2005,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Poljoprivredni proizvodi,15.79221
2010,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Poljoprivredni proizvodi,16.30277
2015,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Poljoprivredni proizvodi,15.82199
2016,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Poljoprivredni proizvodi,15.3037
2017,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Poljoprivredni proizvodi,15.00477
2018,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Poljoprivredni proizvodi,15.10976
2019,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Poljoprivredni proizvodi,16.01302
2020,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Poljoprivredni proizvodi,15.70981
2021,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Poljoprivredni proizvodi,16.51239
2005,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Bez podjele,7.91315
2010,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Bez podjele,7.54494
2015,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Bez podjele,7.88609
2016,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Bez podjele,7.67387
2017,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Bez podjele,7.75035
2018,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Bez podjele,8.00909
2019,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Bez podjele,7.73552
2020,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Bez podjele,8.41333
2021,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Bez podjele,7.97562
2005,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Oružje,14.28337
2019,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Oružje,9.8403
2020,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Oružje,11.63443
2021,"Svjetski ponderisani tarifni prosjek, status najpovlašćenije države, prema vrsti proizvoda (%)",Procenat,Oružje,11.76048
