Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2000,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,0.0
2001,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,6.73
2002,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,0.31
2003,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,0.0
2004,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,7.3
2005,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,0.0
2006,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,12.48
2007,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,0.29
2008,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,23.44
2009,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,0.11
2010,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,96.84
2011,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,67.42
2012,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,0.95
2013,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,97.38
2014,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,164.58
2015,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,6.52
2016,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,3.72
2017,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,83.19
2018,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,1.34
2019,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,20.76
2020,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,3.72
2021,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Svi obnovljivi izvori energije,0.44
2000,"Međunarodni finansijski tokovi prema zemljama u razvoju kao podrška istraživanju i razvoju čiste energije i proizvodnji obnovljive energije, uključujući hibridne sisteme (milioni konstantnih američkih dolara 2020.)",Milioni konstantni američki dolari,Bioenergija,0.0
