Year,SERIES,UNIT_MEASURE,Vrsta proizvoda,Value
2015,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,9.708
2016,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,11.255
2017,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,10.465
2018,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,11.045
2019,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,11.081
2020,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,11.206
2021,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,10.849
2022,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,10.849
2023,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,10.292
2015,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.223
2016,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.699
2017,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.282
2018,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.778
2019,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.778
2020,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.87
2021,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.394
2022,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.407
2023,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.329
2015,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Fosilna goriva,4.035
2016,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Fosilna goriva,4.676
2017,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Fosilna goriva,4.883
2018,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Fosilna goriva,4.989
2019,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Fosilna goriva,4.697
2020,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Fosilna goriva,4.659
2021,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Fosilna goriva,4.555
2022,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Fosilna goriva,4.589
2023,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Fosilna goriva,4.309
2015,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Metalne rude,0.835
2016,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Metalne rude,0.75
2017,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Metalne rude,0.724
2018,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Metalne rude,0.716
2019,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Metalne rude,0.845
2020,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Metalne rude,0.612
2021,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Metalne rude,0.652
2022,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Metalne rude,0.711
2023,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Metalne rude,0.724
2015,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Nemetalni minerali,2.714
2016,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Nemetalni minerali,3.286
2017,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Nemetalni minerali,2.754
2018,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Nemetalni minerali,2.742
2019,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Nemetalni minerali,2.941
2020,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Nemetalni minerali,3.217
2021,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Nemetalni minerali,3.42
2022,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Nemetalni minerali,3.378
2023,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Nemetalni minerali,3.143
2015,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Otpad za konačnu obradu i odlaganje,0.004
2016,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Otpad za konačnu obradu i odlaganje,0.003
2017,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Otpad za konačnu obradu i odlaganje,0.001
2018,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Otpad za konačnu obradu i odlaganje,0.008
2019,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Otpad za konačnu obradu i odlaganje,0.01
2020,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Otpad za konačnu obradu i odlaganje,0.01
