Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2001, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.11
2006, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.22
2007, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.26
2010, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.31
2011, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.4
2012, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.49
2013, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.51
2014, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.41
2015, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.41
2016, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.44
2017, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.44
2018, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.41
2019, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Industrije,0.27
2001, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),2.37
2006, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),2.31
2007, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),2.33
2010, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),2.58
2011, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),2.42
2012, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),2.42
2013, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),2.39
2014, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),2.33
2015, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),2.37
2016, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),2.34
2017, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),2.22
2018, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),1.66
2019, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Usluge (G do T),1.76
2001, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2006, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2007, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2010, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2011, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2012, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2013, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2014, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2015, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2016, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2017, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2018, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2019, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Poljoprivreda (ISIC4 A01 A0210 A0322),0.0
2000, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.47
2001, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.48
2002, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.49
2003, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.51
2004, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.52
2005, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.51
2006, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.53
2007, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.59
2010, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.89
2011, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.81
2012, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.91
2013, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.89
2014, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.74
2015, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.78
2016, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.79
2017, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.66
2018, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.07
2019, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.03
2020, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.0
2021, Nivo vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Procenat,Bez podjele,2.03
