Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2015,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Žene,9.6
2016,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Žene,9.1
2017,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Žene,7.8
2018,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Žene,8.2
2019,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Žene,10.6
2020,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Žene,13.7
2015,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Muškarci,9.2
2016,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Muškarci,11.0
2017,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Muškarci,9.2
2018,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Muškarci,9.6
2019,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Muškarci,9.8
2020,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,15 godina i više,Muškarci,11.1
2015,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,9.6
2016,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,10.3
2017,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,8.7
2018,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,9.2
2019,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,10.0
2020,Rasprostranjenost umjerene ili ozbiljne nesigurnosti hrane kod odrasle populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,12.6
2015,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Žene,1.4
2016,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Žene,1.4
2017,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Žene,1.0
2018,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Žene,1.2
2019,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Žene,2.0
2020,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Žene,2.7
2015,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Muškarci,1.7
2016,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Muškarci,2.1
2017,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Muškarci,1.5
2018,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Muškarci,1.6
2019,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Muškarci,2.0
2020,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,15 godina i više,Muškarci,2.8
2015,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,1.5
2016,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,1.8
2017,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,1.3
2018,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,1.5
2019,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,2.0
