Year,SERIES,UNIT_MEASURE,Spol,Godine,Nivo obrazovanja,Kvantil dohotka ili bogatstva,Value
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,56.21
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,52.69
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,58.84
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,79.34
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Žene,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,47.72
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Žene,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,47.06
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Žene,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,54.74
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Žene,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,70.37
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Muškarci,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,67.23
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Muškarci,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,58.82
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Muškarci,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,63.18
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Muškarci,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,88.71
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najsiromašniji 40%,42.76
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najsiromašniji 40%,40.77
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najsiromašniji 40%,47.5
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najsiromašniji 40%,72.29
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najbogatijih 60%,42.76
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najbogatijih 60%,40.77
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najbogatijih 60%,47.5
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najbogatijih 60%,72.29
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Osnovno obrazovanje ili niže,Ukupno (nacionalni prosjek) ili bez podjele,34.15
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Osnovno obrazovanje ili niže,Ukupno (nacionalni prosjek) ili bez podjele,38.18
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Osnovno obrazovanje ili niže,Ukupno (nacionalni prosjek) ili bez podjele,39.42
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Osnovno obrazovanje ili niže,Ukupno (nacionalni prosjek) ili bez podjele,57.58
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Srednje obrazovanje ili više,Ukupno (nacionalni prosjek) ili bez podjele,67.85
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Srednje obrazovanje ili više,Ukupno (nacionalni prosjek) ili bez podjele,63.14
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Srednje obrazovanje ili više,Ukupno (nacionalni prosjek) ili bez podjele,69.26
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,Srednje obrazovanje ili više,Ukupno (nacionalni prosjek) ili bez podjele,90.09
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj finansijskoj instituciji ili kod provajdera mobilnih novčanih usluga,Procenat,Oba spola ili bez podjele po spolu,15 do 24 godine,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,46.4
