Year,UNIT_MEASURE,Tip,Value
a)2020/2019  Januar,IX,Porez na dodanu vrijednost,102.68
b)2020/2019  Februar,IX,Porez na dodanu vrijednost,108.04
c)2020/2019  Mart,IX,Porez na dodanu vrijednost,99.23
d)2020/2019  April,IX,Porez na dodanu vrijednost,76.73
e)2020/2019  Maj,IX,Porez na dodanu vrijednost,69.59
f)2020/2019  Juni,IX,Porez na dodanu vrijednost,93.0
g)2020/2019  Juli,IX,Porez na dodanu vrijednost,98.56
h)2020/2019  August,IX,Porez na dodanu vrijednost,84.9
i)2020/2019  Septembar,IX,Porez na dodanu vrijednost,91.99
j)2020/2019  Oktobar,IX,Porez na dodanu vrijednost,96.15
k)2020/2019  Novembar,IX,Porez na dodanu vrijednost,93.91
l)2020/2019  Decembar,IX,Porez na dodanu vrijednost,95.27
a)2020/2019  Januar,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",102.24
b)2020/2019  Februar,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",109.0
c)2020/2019  Mart,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",90.08
d)2020/2019  April,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",56.7
e)2020/2019  Maj,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",63.74
f)2020/2019  Juni,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",89.74
g)2020/2019  Juli,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",92.66
h)2020/2019  August,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",82.75
i)2020/2019  Septembar,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",91.35
j)2020/2019  Oktobar,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",91.45
k)2020/2019  Novembar,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",90.97
l)2020/2019  Decembar,IX,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",93.6
a)2020/2019  Januar,IX,Akciza na uvozne proizvode,96.36
b)2020/2019  Februar,IX,Akciza na uvozne proizvode,124.3
c)2020/2019  Mart,IX,Akciza na uvozne proizvode,130.95
d)2020/2019  April,IX,Akciza na uvozne proizvode,101.58
e)2020/2019  Maj,IX,Akciza na uvozne proizvode,52.06
f)2020/2019  Juni,IX,Akciza na uvozne proizvode,96.95
g)2020/2019  Juli,IX,Akciza na uvozne proizvode,76.47
h)2020/2019  August,IX,Akciza na uvozne proizvode,75.01
i)2020/2019  Septembar,IX,Akciza na uvozne proizvode,87.61
j)2020/2019  Oktobar,IX,Akciza na uvozne proizvode,81.27
k)2020/2019  Novembar,IX,Akciza na uvozne proizvode,103.17
l)2020/2019  Decembar,IX,Akciza na uvozne proizvode,79.05
a)2020/2019  Januar,IX,Akciza na domaće proizvode,39.08
b)2020/2019  Februar,IX,Akciza na domaće proizvode,37.23
c)2020/2019  Mart,IX,Akciza na domaće proizvode,79.14
d)2020/2019  April,IX,Akciza na domaće proizvode,13.29
e)2020/2019  Maj,IX,Akciza na domaće proizvode,30.71
f)2020/2019  Juni,IX,Akciza na domaće proizvode,66.47
g)2020/2019  Juli,IX,Akciza na domaće proizvode,73.22
h)2020/2019  August,IX,Akciza na domaće proizvode,83.15
i)2020/2019  Septembar,IX,Akciza na domaće proizvode,75.57
j)2020/2019  Oktobar,IX,Akciza na domaće proizvode,117.43
k)2020/2019  Novembar,IX,Akciza na domaće proizvode,64.28
l)2020/2019  Decembar,IX,Akciza na domaće proizvode,62.21
a)2020/2019  Januar,IX,Posebna taksa (putarina) na naftne derivate,98.18
b)2020/2019  Februar,IX,Posebna taksa (putarina) na naftne derivate,106.13
c)2020/2019  Mart,IX,Posebna taksa (putarina) na naftne derivate,106.08
d)2020/2019  April,IX,Posebna taksa (putarina) na naftne derivate,66.56
e)2020/2019  Maj,IX,Posebna taksa (putarina) na naftne derivate,89.87
f)2020/2019  Juni,IX,Posebna taksa (putarina) na naftne derivate,95.43
g)2020/2019  Juli,IX,Posebna taksa (putarina) na naftne derivate,80.37
h)2020/2019  August,IX,Posebna taksa (putarina) na naftne derivate,75.88
i)2020/2019  Septembar,IX,Posebna taksa (putarina) na naftne derivate,91.53
j)2020/2019  Oktobar,IX,Posebna taksa (putarina) na naftne derivate,83.88
k)2020/2019  Novembar,IX,Posebna taksa (putarina) na naftne derivate,103.59
l)2020/2019  Decembar,IX,Posebna taksa (putarina) na naftne derivate,91.52
a)2020/2019  Januar,IX,Ostali prihodi i naknade,103.63
b)2020/2019  Februar,IX,Ostali prihodi i naknade,101.1
c)2020/2019  Mart,IX,Ostali prihodi i naknade,81.34
d)2020/2019  April,IX,Ostali prihodi i naknade,82.57
e)2020/2019  Maj,IX,Ostali prihodi i naknade,77.67
f)2020/2019  Juni,IX,Ostali prihodi i naknade,86.03
g)2020/2019  Juli,IX,Ostali prihodi i naknade,86.96
h)2020/2019  August,IX,Ostali prihodi i naknade,107.15
i)2020/2019  Septembar,IX,Ostali prihodi i naknade,95.19
j)2020/2019  Oktobar,IX,Ostali prihodi i naknade,95.63
k)2020/2019  Novembar,IX,Ostali prihodi i naknade,102.8
l)2020/2019  Decembar,IX,Ostali prihodi i naknade,119.1
a)2020/2019  Januar,IX,Ukupno,98.5
b)2020/2019  Februar,IX,Ukupno,108.88
c)2020/2019  Mart,IX,Ukupno,104.14
d)2020/2019  April,IX,Ukupno,77.33
e)2020/2019  Maj,IX,Ukupno,66.53
f)2020/2019  Juni,IX,Ukupno,93.06
g)2020/2019  Juli,IX,Ukupno,91.76
h)2020/2019  August,IX,Ukupno,82.2
i)2020/2019  Septembar,IX,Ukupno,90.91
j)2020/2019  Oktobar,IX,Ukupno,92.34
k)2020/2019  Novembar,IX,Ukupno,95.53
l)2020/2019  Decembar,IX,Ukupno,91.88
