Year,SERIES,UNIT_MEASURE,Spol,Godine,Value
2014,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2015,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2014,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2015,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2014,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2015,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Žene,18 godina i više,
2014,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2015,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,
2010,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,1.0
2011,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2012,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2014,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2015,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Žene,Svi dobni raspon,
2010,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2011,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2012,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2014,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2015,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Muškarci,Svi dobni raspon,
2010,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,17.0
2011,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,10.0
2012,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,13.0
2016,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,13.0
2017,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,7.0
2022,"Detektovane žrtve trgovine ljudima radi prisilnog rada, ropstva i služenja, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,5.0
2005,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2006,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2007,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2008,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2009,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2010,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2011,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2012,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2014,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2015,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
2005,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2006,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2007,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2008,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2009,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2010,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2011,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2012,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2014,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,
2015,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Muškarci,mlađi od 15 godina,10.0
2015,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Žene,18 godina i više,5.0
2015,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Muškarci,18 godina i više,6.0
2014,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2015,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,28.0
2016,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2017,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2018,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,17.0
2019,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2021,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,
2022,"Detektovane žrtve trgovine ljudima u druge svrhe, po dobi i spolu (broj)",Broj,Oba spola ili bez podjele po spolu,Svi dobni raspon,16.0
2005,"Detektovane žrtve trgovine ljudima radi vađenja organa, po dobi i spolu (broj)",Broj,Žene,mlađi od 15 godina,
