Year,SERIES,UNIT_MEASURE,Spol,Value
2010,Broj smrtnih slučajeva samoubistvom,Broj,Oba spola ili bez podjele po spolu,339.0
2005,Broj smrtnih slučajeva samoubistvom,Broj,Oba spola ili bez podjele po spolu,405.0
2010,Broj smrtnih slučajeva samoubistvom,Broj,Oba spola ili bez podjele po spolu,390.0
2015,Broj smrtnih slučajeva samoubistvom,Broj,Oba spola ili bez podjele po spolu,367.0
2019,Broj smrtnih slučajeva samoubistvom,Broj,Oba spola ili bez podjele po spolu,361.0
2000,Broj smrtnih slučajeva samoubistvom,Broj,Žene,76.0
2005,Broj smrtnih slučajeva samoubistvom,Broj,Žene,85.0
2010,Broj smrtnih slučajeva samoubistvom,Broj,Žene,84.0
2015,Broj smrtnih slučajeva samoubistvom,Broj,Žene,81.0
2019,Broj smrtnih slučajeva samoubistvom,Broj,Žene,76.0
2000,Broj smrtnih slučajeva samoubistvom,Broj,Muškarci,263.0
2005,Broj smrtnih slučajeva samoubistvom,Broj,Muškarci,320.0
2010,Broj smrtnih slučajeva samoubistvom,Broj,Muškarci,306.0
2015,Broj smrtnih slučajeva samoubistvom,Broj,Muškarci,287.0
2019,Broj smrtnih slučajeva samoubistvom,Broj,Muškarci,285.0
2000,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,9.0
2005,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,10.8
2010,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,10.5
2015,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,10.7
2019,Stopa samoubistvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,10.9
2000,Stopa samoubistvima,Na 100 000 stanovnika,Žene,4.0
2005,Stopa samoubistvima,Na 100 000 stanovnika,Žene,4.4
2010,Stopa samoubistvima,Na 100 000 stanovnika,Žene,4.5
2015,Stopa samoubistvima,Na 100 000 stanovnika,Žene,4.6
2019,Stopa samoubistvima,Na 100 000 stanovnika,Žene,4.5
2000,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,14.3
2005,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,17.3
2010,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,16.8
2015,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,17.0
2019,Stopa samoubistvima,Na 100 000 stanovnika,Muškarci,17.6
