Year,Value,UNIT_MEASURE,SERIES
2000,2111.65,HA_TH,AG_LND_FRSTN
2010,2102.66,HA_TH,AG_LND_FRSTN
2015,2160.5,HA_TH,AG_LND_FRSTN
2016,2176.51,HA_TH,AG_LND_FRSTN
2017,2187.91,HA_TH,AG_LND_FRSTN
2018,2187.91,HA_TH,AG_LND_FRSTN
2019,2187.91,HA_TH,AG_LND_FRSTN
2020,2187.91,HA_TH,AG_LND_FRSTN
2000,41.2431640625,PT,AG_LND_FRST
2010,41.067578125,PT,AG_LND_FRST
2015,42.197265625,PT,AG_LND_FRST
2016,42.5099609375,PT,AG_LND_FRST
2017,42.7326171875,PT,AG_LND_FRST
2018,42.7326171875,PT,AG_LND_FRST
2019,42.7326171875,PT,AG_LND_FRST
2020,42.7326171875,PT,AG_LND_FRST
2015,5120.0,HA_TH,AG_LND_TOTL
