Year,Value,UNIT_MEASURE,SERIES
2000,101.23285,USD,DC_TOF_AGRL
2001,84.27593,USD,DC_TOF_AGRL
2002,9.61141,USD,DC_TOF_AGRL
2003,12.45719,USD,DC_TOF_AGRL
2004,38.93128,USD,DC_TOF_AGRL
2005,11.65837,USD,DC_TOF_AGRL
2006,11.78383,USD,DC_TOF_AGRL
2007,11.906,USD,DC_TOF_AGRL
2008,12.98218,USD,DC_TOF_AGRL
2009,19.31165,USD,DC_TOF_AGRL
2010,15.04609,USD,DC_TOF_AGRL
2011,17.41843,USD,DC_TOF_AGRL
2012,19.4012,USD,DC_TOF_AGRL
2013,20.96925,USD,DC_TOF_AGRL
2014,17.95875,USD,DC_TOF_AGRL
2015,10.89256,USD,DC_TOF_AGRL
2016,7.73341,USD,DC_TOF_AGRL
2017,9.5384,USD,DC_TOF_AGRL
2018,14.23957,USD,DC_TOF_AGRL
