Year,Value,UNIT_MEASURE,SERIES
2015,0.0402,PT,ER_FFS_CMPT_GDP
2016,0.0473,PT,ER_FFS_CMPT_GDP
2017,0.074,PT,ER_FFS_CMPT_GDP
2018,0.0762,PT,ER_FFS_CMPT_GDP
2019,0.2181,PT,ER_FFS_CMPT_GDP
2020,0.0864,PT,ER_FFS_CMPT_GDP
2015,0.0065,CU_USD_B,ER_FFS_CMPT_CD
2016,0.0079,CU_USD_B,ER_FFS_CMPT_CD
2017,0.0128,CU_USD_B,ER_FFS_CMPT_CD
2018,0.0173,CU_USD_B,ER_FFS_CMPT_CD
2019,0.0401,CU_USD_B,ER_FFS_CMPT_CD
2020,0.0154,CU_USD_B,ER_FFS_CMPT_CD
2015,1.8494,CU_USD,ER_FFS_CMPT_PC_CD
2016,2.2726,CU_USD,ER_FFS_CMPT_PC_CD
2017,3.7096,CU_USD,ER_FFS_CMPT_PC_CD
2018,4.0138,CU_USD,ER_FFS_CMPT_PC_CD
2019,11.9464,CU_USD,ER_FFS_CMPT_PC_CD
2020,4.6425,CU_USD,ER_FFS_CMPT_PC_CD
