Year,Value,UNIT_MEASURE,SERIES
2005,113.76155,CON_USD,DC_TOF_TRDCML
2006,196.89985,CON_USD,DC_TOF_TRDCML
2007,154.94478,CON_USD,DC_TOF_TRDCML
2008,134.03715,CON_USD,DC_TOF_TRDCML
2009,212.13171,CON_USD,DC_TOF_TRDCML
2010,232.27405,CON_USD,DC_TOF_TRDCML
2011,225.82849,CON_USD,DC_TOF_TRDCML
2012,218.08434,CON_USD,DC_TOF_TRDCML
2013,448.30314,CON_USD,DC_TOF_TRDCML
2014,525.51593,CON_USD,DC_TOF_TRDCML
2015,78.26739,CON_USD,DC_TOF_TRDCML
2016,62.93301,CON_USD,DC_TOF_TRDCML
2017,206.46492,CON_USD,DC_TOF_TRDCML
2018,171.81998,CON_USD,DC_TOF_TRDCML
2006,74.98621,CON_USD,DC_TOF_TRDDBML
2007,88.84701,CON_USD,DC_TOF_TRDDBML
2008,114.77843,CON_USD,DC_TOF_TRDDBML
2009,99.74611,CON_USD,DC_TOF_TRDDBML
2010,121.37097,CON_USD,DC_TOF_TRDDBML
2011,290.97038,CON_USD,DC_TOF_TRDDBML
2012,310.8811,CON_USD,DC_TOF_TRDDBML
2013,245.7912,CON_USD,DC_TOF_TRDDBML
2014,247.10757,CON_USD,DC_TOF_TRDDBML
2015,155.02131,CON_USD,DC_TOF_TRDDBML
2016,227.59102,CON_USD,DC_TOF_TRDDBML
2017,229.27011,CON_USD,DC_TOF_TRDDBML
2018,204.39546,CON_USD,DC_TOF_TRDDBML
