Year,Value,UNIT_MEASURE,SERIES
2000,11865,Percent,"Proportion of the population who are refugees, by country of origin"
2001,10643,Percent,"Proportion of the population who are refugees, by country of origin"
2002,9757,Percent,"Proportion of the population who are refugees, by country of origin"
2003,7385,Percent,"Proportion of the population who are refugees, by country of origin"
2004,5730,Percent,"Proportion of the population who are refugees, by country of origin"
2005,2837,Percent,"Proportion of the population who are refugees, by country of origin"
2006,5042,Percent,"Proportion of the population who are refugees, by country of origin"
2007,2038,Percent,"Proportion of the population who are refugees, by country of origin"
2008,1942,Percent,"Proportion of the population who are refugees, by country of origin"
2009,1839,Percent,"Proportion of the population who are refugees, by country of origin"
2010,1672,Percent,"Proportion of the population who are refugees, by country of origin"
2011,1575,Percent,"Proportion of the population who are refugees, by country of origin"
2012,1417,Percent,"Proportion of the population who are refugees, by country of origin"
2013,750,Percent,"Proportion of the population who are refugees, by country of origin"
2014,625,Percent,"Proportion of the population who are refugees, by country of origin"
2015,544,Percent,"Proportion of the population who are refugees, by country of origin"
2016,534,Percent,"Proportion of the population who are refugees, by country of origin"
2017,525,Percent,"Proportion of the population who are refugees, by country of origin"
2018,508,Percent,"Proportion of the population who are refugees, by country of origin"
2019,499,Percent,"Proportion of the population who are refugees, by country of origin"
