Year,Value,UNIT_MEASURE,SERIES
2005,196.802768,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2006,199.240905,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2007,198.621679,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2008,195.98815,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2009,196.755711,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2010,195.980924,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2011,194.373977,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2012,192.717187,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2013,191.539535,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2014,194.156985,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2015,196.933384,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2016,198.21211,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2017,200.734893,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2018,203.146127,Square kilometers,Water body extent (permanent and maybe permanent) (square kilometres)
2005,0.384224244140625,Percent,Water body extent (permanent) (% of total land area)
2006,0.389043779296875,Percent,Water body extent (permanent) (% of total land area)
2007,0.3878929335937499,Percent,Water body extent (permanent) (% of total land area)
2008,0.3827478632812499,Percent,Water body extent (permanent) (% of total land area)
2009,0.3842341425781249,Percent,Water body extent (permanent) (% of total land area)
2010,0.3827234374999999,Percent,Water body extent (permanent) (% of total land area)
2011,0.379595548828125,Percent,Water body extent (permanent) (% of total land area)
2012,0.3763736894531249,Percent,Water body extent (permanent) (% of total land area)
2013,0.3740766289062499,Percent,Water body extent (permanent) (% of total land area)
2014,0.37920499609375,Percent,Water body extent (permanent) (% of total land area)
2015,0.3846276425781249,Percent,Water body extent (permanent) (% of total land area)
2016,0.387125658203125,Percent,Water body extent (permanent) (% of total land area)
2017,0.39205578515625,Percent,Water body extent (permanent) (% of total land area)
2018,0.39676751171875,Percent,Water body extent (permanent) (% of total land area)
2005,196.722813,Square kilometers,Water body extent (permanent) (square kilometres)
2006,199.190415,Square kilometers,Water body extent (permanent) (square kilometres)
2007,198.601182,Square kilometers,Water body extent (permanent) (square kilometres)
2008,195.966906,Square kilometers,Water body extent (permanent) (square kilometres)
2009,196.727881,Square kilometers,Water body extent (permanent) (square kilometres)
2010,195.9544,Square kilometers,Water body extent (permanent) (square kilometres)
2011,194.352921,Square kilometers,Water body extent (permanent) (square kilometres)
2012,192.703329,Square kilometers,Water body extent (permanent) (square kilometres)
2013,191.527234,Square kilometers,Water body extent (permanent) (square kilometres)
2014,194.152958,Square kilometers,Water body extent (permanent) (square kilometres)
2015,196.929353,Square kilometers,Water body extent (permanent) (square kilometres)
2016,198.208337,Square kilometers,Water body extent (permanent) (square kilometres)
2017,200.732562,Square kilometers,Water body extent (permanent) (square kilometres)
2018,203.144966,Square kilometers,Water body extent (permanent) (square kilometres)
