Year,Value,UNIT_MEASURE,SERIES
2000,123.34559,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2001,170.73266,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2002,135.55069,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2003,113.24509,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2004,76.98247,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2005,129.93741,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2006,160.1502,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2007,129.90185,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2008,107.97314,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2009,140.91366,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2010,97.46286,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2011,78.79676,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2012,72.34744,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2013,107.12717,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2014,76.16213,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2015,115.85016,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2016,54.7023,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2017,68.62023,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2018,118.29624,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2019,137.29254,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
2020,94.96676,Millions of constant United States dollars,Total official development assistance (gross disbursement) for technical cooperation
