Year,Value,UNIT_MEASURE,SERIES
2000,114.81532,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2001,157.96189,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2002,125.59918,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2003,104.67249,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2004,71.52112,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2005,120.76763,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2006,149.61963,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2007,121.38869,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2008,100.75339,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2009,131.3208,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2010,90.77999,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2011,73.40769,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2012,67.32975,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2013,99.9125,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2014,70.98564,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2015,107.80012,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2016,50.99685,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2017,64.00353,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2018,107.62003,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
