Year,Value,UNIT_MEASURE,SERIES
2000,5.19,Percent,Annual growth rate of real GDP per capita
2001,2.57,Percent,Annual growth rate of real GDP per capita
2002,4.93,Percent,Annual growth rate of real GDP per capita
2003,3.82,Percent,Annual growth rate of real GDP per capita
2004,6.26,Percent,Annual growth rate of real GDP per capita
2005,3.87,Percent,Annual growth rate of real GDP per capita
2006,5.41,Percent,Annual growth rate of real GDP per capita
2007,5.93,Percent,Annual growth rate of real GDP per capita
2008,5.67,Percent,Annual growth rate of real GDP per capita
2009,-2.52,Percent,Annual growth rate of real GDP per capita
2010,1.7,Percent,Annual growth rate of real GDP per capita
2011,2.18,Percent,Annual growth rate of real GDP per capita
2012,0.72,Percent,Annual growth rate of real GDP per capita
2013,4.15,Percent,Annual growth rate of real GDP per capita
2014,2.91,Percent,Annual growth rate of real GDP per capita
2015,4.67,Percent,Annual growth rate of real GDP per capita
2016,4.46,Percent,Annual growth rate of real GDP per capita
2017,4.23,Percent,Annual growth rate of real GDP per capita
2018,3.42,Percent,Annual growth rate of real GDP per capita
