Year,Value,UNIT_MEASURE,SERIES
2000,0.8994,Index,Red List Index
2001,0.8992,Index,Red List Index
2002,0.8992,Index,Red List Index
2003,0.8992,Index,Red List Index
2004,0.89917,Index,Red List Index
2005,0.8992,Index,Red List Index
2006,0.8992,Index,Red List Index
2007,0.89927,Index,Red List Index
2008,0.89931,Index,Red List Index
2009,0.89934,Index,Red List Index
2010,0.89936,Index,Red List Index
2011,0.89941,Index,Red List Index
2012,0.89945,Index,Red List Index
2013,0.89948,Index,Red List Index
2014,0.89951,Index,Red List Index
2015,0.8995,Index,Red List Index
2016,0.8996,Index,Red List Index
2017,0.8996,Index,Red List Index
2018,0.8996,Index,Red List Index
2019,0.8997,Index,Red List Index
2020,0.8997,Index,Red List Index
2021,0.8997,Index,Red List Index
