Year,Value,UNIT_MEASURE,SERIES
2000,7.64,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2001,7.07,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2002,7.04,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2003,6.76,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2004,6.97,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2005,6.71,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2006,6.7,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2007,6.33,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2008,6.75,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2009,7.26,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2010,7.5,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2011,8.19,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2012,7.73,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2013,7.29,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2014,6.7,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2015,6.69,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2016,7.09,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
2017,6.88,Megajoules per USD constant PPP GDP,Energy intensity level of primary energy
