Year,Value,UNIT_MEASURE,SERIES
2000,12.67419,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2001,11.979,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2002,5.93503,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2003,5.22393,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2004,4.11623,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2005,3.58475,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2006,3.34136,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2007,3.1481,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2008,2.70532,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2009,3.28689,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2010,3.629,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2011,3.68589,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2012,4.4527,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2013,7.053,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2014,7.7323,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2015,7.2828,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2016,6.471,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2017,7.4196,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2018,6.8138,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2019,6.0584,Postotak,Servisiranja duga kao udio izvoza roba i usluga
2020,6.2016,Postotak,Servisiranja duga kao udio izvoza roba i usluga
