Year,Value,UNIT_MEASURE,SERIES
2005,46.2,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2006,191.4,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2007,151.6,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2008,129.6,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2009,211.2,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2010,225.9,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2011,220.3,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2012,212.1,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2013,436.8,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2014,511.3,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2015,76.1,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2016,61.5,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2017,200.5,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2018,166.86608,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2019,250.86009,konstantni američki dolari,"Ukupni zvanični tokovi (obveze) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2006,73.7,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2007,86.9,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2008,111.7,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2009,96.5,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2010,118.4,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2011,282.3,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2012,301.5,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2013,239.0,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2014,239.9,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2015,150.7,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2016,221.6,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2017,223.4,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2018,201.0,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2019,200.7,konstantni američki dolari,"Ukupni zvanični tokovi (isplate) za pomoć trgovini, prema zemljama primateljima (milijuni konstantnih američkih dolara iz 2020.)"
2019,0.0,Rezultat,"Postojanje razvijene i operacionalizirane nacionalne strategije za zapošljavanje mladih, kao posebne strategije ili kao dio nacionalne strategije zapošljavanja"
2020,0.0,Rezultat,"Postojanje razvijene i operacionalizirane nacionalne strategije za zapošljavanje mladih, kao posebne strategije ili kao dio nacionalne strategije zapošljavanja"
