Year,Value,UNIT_MEASURE,SERIES
2005,46.2,konstantni američki dolari,DC_TOF_TRDCML
2006,191.4,konstantni američki dolari,DC_TOF_TRDCML
2007,151.6,konstantni američki dolari,DC_TOF_TRDCML
2008,129.6,konstantni američki dolari,DC_TOF_TRDCML
2009,211.2,konstantni američki dolari,DC_TOF_TRDCML
2010,225.9,konstantni američki dolari,DC_TOF_TRDCML
2011,220.3,konstantni američki dolari,DC_TOF_TRDCML
2012,212.1,konstantni američki dolari,DC_TOF_TRDCML
2013,436.8,konstantni američki dolari,DC_TOF_TRDCML
2014,511.3,konstantni američki dolari,DC_TOF_TRDCML
2015,76.1,konstantni američki dolari,DC_TOF_TRDCML
2016,61.5,konstantni američki dolari,DC_TOF_TRDCML
2017,200.5,konstantni američki dolari,DC_TOF_TRDCML
2018,166.86608,konstantni američki dolari,DC_TOF_TRDCML
2019,250.86009,konstantni američki dolari,DC_TOF_TRDCML
2006,73.7,konstantni američki dolari,DC_TOF_TRDDBML
2007,86.9,konstantni američki dolari,DC_TOF_TRDDBML
2008,111.7,konstantni američki dolari,DC_TOF_TRDDBML
2009,96.5,konstantni američki dolari,DC_TOF_TRDDBML
2010,118.4,konstantni američki dolari,DC_TOF_TRDDBML
2011,282.3,konstantni američki dolari,DC_TOF_TRDDBML
2012,301.5,konstantni američki dolari,DC_TOF_TRDDBML
2013,239.0,konstantni američki dolari,DC_TOF_TRDDBML
2014,239.9,konstantni američki dolari,DC_TOF_TRDDBML
2015,150.7,konstantni američki dolari,DC_TOF_TRDDBML
2016,221.6,konstantni američki dolari,DC_TOF_TRDDBML
2017,223.4,konstantni američki dolari,DC_TOF_TRDDBML
2018,201.0,konstantni američki dolari,DC_TOF_TRDDBML
2019,200.7,konstantni američki dolari,DC_TOF_TRDDBML
2019,0.0,Rezultat,SL_CPA_YEMP
2020,0.0,Rezultat,SL_CPA_YEMP
