Year,Value,UNIT_MEASURE,SERIES
2000,6.53,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2001,6.16,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2002,6.15,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2003,5.91,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2004,6.09,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2005,6.12,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2006,6.09,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2007,5.75,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2008,6.12,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2009,6.43,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2010,6.66,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2011,7.27,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2012,6.85,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2013,6.46,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2014,5.94,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2015,5.86,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2016,6.21,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2017,6.0,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2018,6.41,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2019,6.02,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2020,6.1,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
2021,5.89,Megadžula po konstantni američkog dolara PPP BDP,Energetski intenzitet primarne energije (megadžuli po konstantnom BDP-u pariteta kupovne moći za 2017.)
