Year,Value,UNIT_MEASURE,SERIES
2002,0.85082,konstantni američki dolari,DC_ODA_BDVL
2003,0.38036,konstantni američki dolari,DC_ODA_BDVL
2004,4.59425,konstantni američki dolari,DC_ODA_BDVL
2005,0.6276,konstantni američki dolari,DC_ODA_BDVL
2006,1.74582,konstantni američki dolari,DC_ODA_BDVL
2007,0.88814,konstantni američki dolari,DC_ODA_BDVL
2008,3.65444,konstantni američki dolari,DC_ODA_BDVL
2009,4.51277,konstantni američki dolari,DC_ODA_BDVL
2010,12.36201,konstantni američki dolari,DC_ODA_BDVL
2011,1.15427,konstantni američki dolari,DC_ODA_BDVL
2012,2.69066,konstantni američki dolari,DC_ODA_BDVL
2013,1.22647,konstantni američki dolari,DC_ODA_BDVL
2014,1.52332,konstantni američki dolari,DC_ODA_BDVL
2015,0.72172,konstantni američki dolari,DC_ODA_BDVL
2016,4.089,konstantni američki dolari,DC_ODA_BDVL
2017,19.06079,konstantni američki dolari,DC_ODA_BDVL
2018,11.49886,konstantni američki dolari,DC_ODA_BDVL
