Year,SERIES,UNIT_MEASURE,Value
2010,Total trade of tracked Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),807404829
2011,Total trade of tracked Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),909534614
2012,Total trade of tracked Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),828592009
2013,Total trade of tracked Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),867795094
2014,Total trade of tracked Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),1055825314
2015,Total trade of tracked Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),840479292
2016,Total trade of tracked Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),820185911
2017,Total trade of tracked Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),994149512
2018,Total trade of tracked Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),1106899563
2019,Total trade of tracked Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),1099211216
2020,Total trade of tracked Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),1135049732
2010,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),259121986
2011,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),292867322
2012,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),249659960
2013,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),287045317
2014,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),316051618
2015,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),264719782
2016,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),268504132
2017,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),325846642
2018,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),371773743
2019,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),423096732
2020,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),440116755
2010,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),548282843
2011,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),616667292
2012,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),578932049
2013,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),580749777
2014,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),739773696
2015,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),575759510
2016,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),551681779
2017,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),668302870
2018,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),735125820
2019,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),676114484
2020,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),(nominal United States dollars),694932977
