Year,SERIES,UNIT_MEASURE,Type of waste treatment,Economic activity,Value
2020,"Hazardous waste exported, (Tonnes)",TONNES,,,
2008,Hazardous waste generated (Tonnes),TONNES,,,10588.0
2009,Hazardous waste generated (Tonnes),TONNES,,,9632.0
2010,Hazardous waste generated (Tonnes),TONNES,,,10320.0
2012,Hazardous waste generated (Tonnes),TONNES,,,945923.0
2014,Hazardous waste generated (Tonnes),TONNES,,,8703.0
2016,Hazardous waste generated (Tonnes),TONNES,,,13292.0
2018,Hazardous waste generated (Tonnes),TONNES,,,14162.0
2020,Hazardous waste generated (Tonnes),TONNES,,,9943.0
2008,"Hazardous waste generated, per capita (Kg)",Kilograms,,,2.685
2009,"Hazardous waste generated, per capita (Kg)",Kilograms,,,2.4839
2010,"Hazardous waste generated, per capita (Kg)",Kilograms,,,2.7079
2012,"Hazardous waste generated, per capita (Kg)",Kilograms,,,2.5743
2014,"Hazardous waste generated, per capita (Kg)",Kilograms,,,2.4371
2016,"Hazardous waste generated, per capita (Kg)",Kilograms,,,3.8185
2018,"Hazardous waste generated, per capita (Kg)",Kilograms,,,4.1651
2020,"Hazardous waste generated, per capita (Kg)",Kilograms,,,2.9963
2008,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,,,0.0007
2009,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,,,0.0006
2010,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,,,0.0007
2012,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,,,0.0623
2014,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,,,0.0006
2016,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,,,0.0008
2018,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,,,0.0008
2020,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,,,0.0006
2020,"Hazardous waste imported, (Tonnes)",TONNES,,,
2020,"Hazardous waste treated, by type of treatment (Tonnes)",TONNES,Landfilling,,0.0
2008,Municipal waste collected (Tonnes),TONNES,,,
2008,Municipal waste generated (Tonnes),TONNES,,,1367000.0
2009,Municipal waste generated (Tonnes),TONNES,,,1362000.0
2010,Municipal waste generated (Tonnes),TONNES,,,1276000.0
2011,Municipal waste generated (Tonnes),TONNES,,,1307000.0
2012,Municipal waste generated (Tonnes),TONNES,,,1303000.0
2013,Municipal waste generated (Tonnes),TONNES,,,1192000.0
2014,Municipal waste generated (Tonnes),TONNES,,,1335000.0
2015,Municipal waste generated (Tonnes),TONNES,,,1249000.0
2016,Municipal waste generated (Tonnes),TONNES,,,1244000.0
2017,Municipal waste generated (Tonnes),TONNES,,,1235000.0
2018,Municipal waste generated (Tonnes),TONNES,,,1244000.0
2019,Municipal waste generated (Tonnes),TONNES,,,1228000.0
2020,Municipal waste generated (Tonnes),TONNES,,,1206000.0
2021,Municipal waste generated (Tonnes),TONNES,,,1229000.0
2017,"Proportion of municipal waste treated, by type of treatment (%)",Percent,Landfilling,,
2018,"Proportion of municipal waste treated, by type of treatment (%)",Percent,Landfilling,,
2019,"Proportion of municipal waste treated, by type of treatment (%)",Percent,Landfilling,,
2020,"Proportion of municipal waste treated, by type of treatment (%)",Percent,Landfilling,,
2021,"Proportion of municipal waste treated, by type of treatment (%)",Percent,Landfilling,,
2019,"Proportion of municipal waste treated, by type of treatment (%)",Percent,Incineration,,0.0
2021,"Proportion of municipal waste treated, by type of treatment (%)",Percent,Incineration,,78.60049
2019,"Proportion of municipal waste treated, by type of treatment (%)",Percent,Incineration to generate energy,,
2021,"Proportion of municipal waste treated, by type of treatment (%)",Percent,Incineration to generate energy,,
2019,Municipal waste treated by type of treatment (Tonnes),TONNES,Incineration,,0.0
2020,Municipal waste treated by type of treatment (Tonnes),TONNES,Incineration,,0.0
2021,Municipal waste treated by type of treatment (Tonnes),TONNES,Incineration,,
2019,Municipal waste treated by type of treatment (Tonnes),TONNES,Incineration to generate energy,,
2021,Municipal waste treated by type of treatment (Tonnes),TONNES,Incineration to generate energy,,
2019,Municipal waste treated by type of treatment (Tonnes),TONNES,"Landfilling, controlled",,
2020,Municipal waste treated by type of treatment (Tonnes),TONNES,"Landfilling, controlled",,
2019,Municipal waste treated by type of treatment (Tonnes),TONNES,Landfilling,,1087000.0
2020,Municipal waste treated by type of treatment (Tonnes),TONNES,Landfilling,,1087000.0
2020,"Total waste generation, by activity (Tonnes)",TONNES,,"Agriculture, forestry and fishing",0.0
2020,"Total waste generation, by activity (Tonnes)",TONNES,,Mining and quarrying,765270.0
2018,"Total waste generation, by activity (Tonnes)",TONNES,,Manufacturing,1893270.0
2020,"Total waste generation, by activity (Tonnes)",TONNES,,Manufacturing,1842260.0
2020,"Total waste generation, by activity (Tonnes)",TONNES,,"Electricity, gas, steam and air conditioning supply",3129364.0
2020,"Total waste generation, by activity (Tonnes)",TONNES,,Construction,85972.0
2020,"Total waste generation, by activity (Tonnes)",TONNES,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,902567.0
2020,"Total waste generation, by activity (Tonnes)",TONNES,,No breakdown,6753458.0
