Year,SERIES,UNIT_MEASURE,Age,Degree of urbanisation,Income or wealth quantile,Sex,Type of households,Value
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,under 59 years old,All areas,Total (national average) or no breakdown,Both sexes,All types of households,8.11
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,60 years old and over,All areas,Total (national average) or no breakdown,Both sexes,All types of households,9.36
2001,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,All types of households,18.78
2004,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,All types of households,11.24
2007,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,All types of households,15.36
2011,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,All types of households,12.25
2015,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,All types of households,10.92
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,All types of households,8.58
2022,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,All types of households,8.58
2001,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,Households composed only of people aged between 20 and 59 years old,9.94
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,Households composed only of people aged between 20 and 59 years old,3.68
2001,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,Adults living with children (0 to 9 years old) and or adolescents (10 to 19 years old),18.23
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,Adults living with children (0 to 9 years old) and or adolescents (10 to 19 years old),9.06
2001,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,Households composed of adults living with at least one older person (60 years and older),17.51
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,Households composed of adults living with at least one older person (60 years and older),7.95
2001,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,Households include adults living with people below 20 years old (children and or adolescents) as well as older adults (60 years old or more),30.34
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,Households include adults living with people below 20 years old (children and or adolescents) as well as older adults (60 years old or more),16.66
2001,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,Households exclusively composed of older people (60 years and older),18.3
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Both sexes,Households exclusively composed of older people (60 years and older),7.47
2004,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Female,All types of households,11.27
2007,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Female,All types of households,14.35
2011,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Female,All types of households,10.98
2015,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Female,All types of households,9.73
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Female,All types of households,7.12
2022,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Female,All types of households,7.49
2004,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Male,All types of households,11.24
2007,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Male,All types of households,13.43
2011,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Male,All types of households,12.49
2015,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Male,All types of households,11.17
2021,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Male,All types of households,8.88
2022,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household, and characteristics of the head of household (%)",Percent,All age ranges or no breaks by age,All areas,Total (national average) or no breakdown,Male,All types of households,8.81
