Year,SERIES,UNIT_MEASURE,Value
2000,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,28.7138522
2001,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,26.0918173
2002,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,22.4884302
2003,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,20.7660871
2004,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,19.3767629
2005,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,18.1568243
2006,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,16.7042815
2007,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,17.0255092
2008,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,14.2191225
2009,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,12.0759216
2010,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,10.6091171
2011,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,10.5028651
2012,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,10.7141785
2013,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,10.7708945
2014,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,11.3541369
2015,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,11.1100604
2016,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,10.9144386
2017,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,11.1540444
2018,Volume of remittances (in United States dollars) as a proportion of total GDP,Percent,10.5231356
