Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,0.13
2011,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,0.2
2012,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,0.22
2013,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,1.99
2014,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,2.63
2015,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,3.48
2016,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,5.62
2017,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,9.69
2018,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,9.99
2019,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,11.93
2020,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,13.71
2021,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,10 Mbit/s or above,14.83
2010,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,256 kbit/s to less than 2 Mbit/s,7.01
2011,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,256 kbit/s to less than 2 Mbit/s,3.51
2012,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,256 kbit/s to less than 2 Mbit/s,2.73
2013,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,256 kbit/s to less than 2 Mbit/s,2.32
2014,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,256 kbit/s to less than 2 Mbit/s,1.32
2015,"Fixed broadband subscriptions, by speed (per 100 inhabitants)",Per 100 population,256 kbit/s to less than 2 Mbit/s,0.91
