Year,SERIES,UNIT_MEASURE,Value
2000,Annual growth rate of real GDP per capita,PT,4.75
2001,Annual growth rate of real GDP per capita,PT,2.04
2002,Annual growth rate of real GDP per capita,PT,4.94
2003,Annual growth rate of real GDP per capita,PT,4.23
2004,Annual growth rate of real GDP per capita,PT,7.37
2005,Annual growth rate of real GDP per capita,PT,5.13
2006,Annual growth rate of real GDP per capita,PT,6.35
2007,Annual growth rate of real GDP per capita,PT,7.19
2008,Annual growth rate of real GDP per capita,PT,7.17
2009,Annual growth rate of real GDP per capita,PT,-1.36
2010,Annual growth rate of real GDP per capita,PT,2.63
2011,Annual growth rate of real GDP per capita,PT,2.79
2012,Annual growth rate of real GDP per capita,PT,1.03
2013,Annual growth rate of real GDP per capita,PT,3.96
2014,Annual growth rate of real GDP per capita,PT,2.47
2015,Annual growth rate of real GDP per capita,PT,4.46
2016,Annual growth rate of real GDP per capita,PT,4.43
2017,Annual growth rate of real GDP per capita,PT,4.4
2018,Annual growth rate of real GDP per capita,PT,4.96
2019,Annual growth rate of real GDP per capita,PT,4.04
2020,Annual growth rate of real GDP per capita,PT,-1.88
2021,Annual growth rate of real GDP per capita,PT,9.11
