Year,SERIES,UNIT_MEASURE,Value
2000,Carbon dioxide emissions from fuel combustion,TONNES_M,13.718
2001,Carbon dioxide emissions from fuel combustion,TONNES_M,13.501
2002,Carbon dioxide emissions from fuel combustion,TONNES_M,14.219
2003,Carbon dioxide emissions from fuel combustion,TONNES_M,14.546
2004,Carbon dioxide emissions from fuel combustion,TONNES_M,15.187
2005,Carbon dioxide emissions from fuel combustion,TONNES_M,15.858
2006,Carbon dioxide emissions from fuel combustion,TONNES_M,17.462
2007,Carbon dioxide emissions from fuel combustion,TONNES_M,18.415
2008,Carbon dioxide emissions from fuel combustion,TONNES_M,20.24
2009,Carbon dioxide emissions from fuel combustion,TONNES_M,20.204
2010,Carbon dioxide emissions from fuel combustion,TONNES_M,20.483
2011,Carbon dioxide emissions from fuel combustion,TONNES_M,23.401
2012,Carbon dioxide emissions from fuel combustion,TONNES_M,21.645
2013,Carbon dioxide emissions from fuel combustion,TONNES_M,21.51
2014,Carbon dioxide emissions from fuel combustion,TONNES_M,19.172
2015,Carbon dioxide emissions from fuel combustion,TONNES_M,19.306
2016,Carbon dioxide emissions from fuel combustion,TONNES_M,22.019
2017,Carbon dioxide emissions from fuel combustion,TONNES_M,22.328
2000,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.60146
2001,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.56698
2002,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.56707
2003,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.55783
2004,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.54891
2005,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.52699
2006,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.55049
2007,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.54843
2008,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.57175
2009,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.58842
2010,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.59135
2011,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.66919
2012,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.6241
2013,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.60598
2014,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.53398
2015,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.52167
2016,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.57683
2017,Carbon dioxide emissions per unit of GDP,Kilograms per constant USD,0.56686
2000,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.6
2001,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.38
2002,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.43
2003,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.36
2004,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.72
2005,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.89
2006,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.83
2007,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.8
2008,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.79
2009,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.89
2010,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.98
2011,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.09
2012,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.11
2013,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.24
2014,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.08
2015,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,1.06
2016,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.95
2017,Carbon dioxide emissions per unit of manufacturing value added,Kilograms per constant USD,0.94
