Year,SERIES,UNIT_MEASURE,Value
2000,"Total official flows (disbursements) for agriculture, by recipient countries",USD,101.23285
2001,"Total official flows (disbursements) for agriculture, by recipient countries",USD,84.27593
2002,"Total official flows (disbursements) for agriculture, by recipient countries",USD,9.61141
2003,"Total official flows (disbursements) for agriculture, by recipient countries",USD,12.45719
2004,"Total official flows (disbursements) for agriculture, by recipient countries",USD,38.93128
2005,"Total official flows (disbursements) for agriculture, by recipient countries",USD,11.65837
2006,"Total official flows (disbursements) for agriculture, by recipient countries",USD,11.78383
2007,"Total official flows (disbursements) for agriculture, by recipient countries",USD,11.906
2008,"Total official flows (disbursements) for agriculture, by recipient countries",USD,12.98218
2009,"Total official flows (disbursements) for agriculture, by recipient countries",USD,19.31165
2010,"Total official flows (disbursements) for agriculture, by recipient countries",USD,15.04609
2011,"Total official flows (disbursements) for agriculture, by recipient countries",USD,17.41843
2012,"Total official flows (disbursements) for agriculture, by recipient countries",USD,19.4012
2013,"Total official flows (disbursements) for agriculture, by recipient countries",USD,20.96925
2014,"Total official flows (disbursements) for agriculture, by recipient countries",USD,17.95875
2015,"Total official flows (disbursements) for agriculture, by recipient countries",USD,10.89256
2016,"Total official flows (disbursements) for agriculture, by recipient countries",USD,7.73341
2017,"Total official flows (disbursements) for agriculture, by recipient countries",USD,9.5384
2018,"Total official flows (disbursements) for agriculture, by recipient countries",USD,14.23957
