Year,SERIES,UNIT_MEASURE,Type of product,Value
2000,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,6.66751
2001,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,6.91586
2002,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,7.31228
2003,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,8.69966
2004,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,9.28786
2005,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,9.80739
2006,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,10.78876
2007,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,10.89829
2008,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,12.12867
2009,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.40177
2010,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.12588
2011,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.71399
2012,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,12.08488
2013,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.4451
2014,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.17667
2015,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,12.47721
2016,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,13.67454
2017,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,12.8607
2018,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,14.19415
2019,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,14.46275
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.5325
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.69833
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.73528
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.31352
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.83925
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.8148
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.90239
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.51972
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.80323
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.70012
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.59111
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.59921
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.3632
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.70089
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.55069
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.79108
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,3.26414
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.78267
2018,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,3.39949
2019,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,3.51815
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,1.96685
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,1.99573
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.06789
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.24046
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.32347
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.49965
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.72931
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.68365
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.08796
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.24336
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.20714
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.70264
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.53956
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.54909
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.63228
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.84736
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,4.35102
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,4.55235
