Year,SERIES,UNIT_MEASURE,Type of product,Value
2000,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,6.20325
2001,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,6.52651
2002,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,6.98936
2003,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,8.36171
2004,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,8.58584
2005,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,8.5121
2006,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,9.59811
2007,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,9.84437
2008,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.03524
2009,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,10.76953
2010,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,10.43052
2011,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,10.95079
2012,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,10.80053
2013,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.64394
2014,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,11.99978
2015,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,12.87167
2016,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,13.46676
2017,"Domestic material consumption per capita, by type of raw material",TONNES,No breakdown,14.03086
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,1.83865
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,1.99191
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.06105
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,1.64703
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.20122
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.20271
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.27674
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.07786
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.36453
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.26643
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.22894
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.25276
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.04753
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.41833
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.32517
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.33974
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.38356
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Biomass,2.42138
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,1.95874
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,1.98739
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.0589
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.23034
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.25743
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.37444
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.59746
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.54557
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,2.94266
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.13034
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.0542
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.5599
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.44307
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.41609
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.45008
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,3.87561
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,4.01914
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Coal,4.15315
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.33847
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.43254
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.49519
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.30454
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.54362
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.52028
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.51514
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.38189
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.52663
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.52943
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.43445
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.43745
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.34984
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.48102
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.43713
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.44109
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.44373
