Year,SERIES,UNIT_MEASURE,Value
2000,"Total assistance for development, by recipient countries",Millions of current United States dollars,946
2001,"Total assistance for development, by recipient countries",Millions of current United States dollars,714
2002,"Total assistance for development, by recipient countries",Millions of current United States dollars,709
2003,"Total assistance for development, by recipient countries",Millions of current United States dollars,645
2004,"Total assistance for development, by recipient countries",Millions of current United States dollars,956
2005,"Total assistance for development, by recipient countries",Millions of current United States dollars,731
2006,"Total assistance for development, by recipient countries",Millions of current United States dollars,1196
2007,"Total assistance for development, by recipient countries",Millions of current United States dollars,1281
2008,"Total assistance for development, by recipient countries",Millions of current United States dollars,1295
2009,"Total assistance for development, by recipient countries",Millions of current United States dollars,580
2010,"Total assistance for development, by recipient countries",Millions of current United States dollars,936
2011,"Total assistance for development, by recipient countries",Millions of current United States dollars,668
2012,"Total assistance for development, by recipient countries",Millions of current United States dollars,1091
2013,"Total assistance for development, by recipient countries",Millions of current United States dollars,986
2014,"Total assistance for development, by recipient countries",Millions of current United States dollars,551
2015,"Total assistance for development, by recipient countries",Millions of current United States dollars,946
2016,"Total assistance for development, by recipient countries",Millions of current United States dollars,656
2017,"Total assistance for development, by recipient countries",Millions of current United States dollars,1008
2018,"Total assistance for development, by recipient countries",Millions of current United States dollars,993
2019,"Total assistance for development, by recipient countries",Millions of current United States dollars,690
2020,"Total assistance for development, by recipient countries",Millions of current United States dollars,790
2021,"Total assistance for development, by recipient countries",Millions of current United States dollars,681
