Year,SERIES,UNIT_MEASURE,Value
2000,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,9.0118
2001,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,5.34383
2002,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,5.43791
2003,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,9.14858
2004,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,4.57769
2005,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,4.83248
2006,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,18.16482
2007,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,11.42505
2008,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,6.98618
2009,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,2.61981
2010,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,7.80168
2011,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,6.04845
2012,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,6.62092
2013,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,5.5622
2014,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,10.99833
2015,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,5.19602
2016,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,37.98346
2017,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,36.07086
2018,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",USD,13.08596
