Year,SERIES,UNIT_MEASURE,Sex,Value
2009,Proportion of population above statutory pensionable age receiving a pension,Percent,Both sexes or no breakdown by sex,29.6
2020,Proportion of population above statutory pensionable age receiving a pension,Percent,Both sexes or no breakdown by sex,69.5
2020,Proportion of population above statutory pensionable age receiving a pension,Percent,Female,41.3
2020,Proportion of population above statutory pensionable age receiving a pension,Percent,Male,100.0
2001,Proportion of unemployed persons receiving unemployment cash benefit,Percent,Both sexes or no breakdown by sex,1.2
2005,Proportion of unemployed persons receiving unemployment cash benefit,Percent,Both sexes or no breakdown by sex,1.6
2007,Proportion of unemployed persons receiving unemployment cash benefit,Percent,Both sexes or no breakdown by sex,1.6
2009,Proportion of unemployed persons receiving unemployment cash benefit,Percent,Both sexes or no breakdown by sex,2.4
2010,Proportion of unemployed persons receiving unemployment cash benefit,Percent,Both sexes or no breakdown by sex,2.6
2011,Proportion of unemployed persons receiving unemployment cash benefit,Percent,Both sexes or no breakdown by sex,2.0
2020,Proportion of unemployed persons receiving unemployment cash benefit,Percent,Both sexes or no breakdown by sex,5.3
2007,Proportion of population covered by labour market programs,Percent,,2.03118
2007,Proportion of population covered by social assistance programs,Percent,,20.50947
2015,Proportion of population covered by social assistance programs,Percent,,17.4175
2007,Proportion of population covered by social insurance programs,Percent,,41.52379
2015,Proportion of population covered by social insurance programs,Percent,,40.16296
2020,"Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Percent,Both sexes or no breakdown by sex,100.0
2020,"Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Percent,Female,100.0
2020,"Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Percent,Male,100.0
2020,"Proportion of population covered by at least one social protection benefit, by sex (%)",Percent,Both sexes or no breakdown by sex,40.0
2020,Proportion of mothers with newborns receiving maternity cash benefit (%),Percent,Both sexes or no breakdown by sex,100.0
