Year,Value,UNIT_MEASURE,SERIES
2000,101.09936,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2001,84.39113,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2002,10.23443,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2003,12.63001,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2004,40.81368,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2005,12.25095,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2006,12.18584,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2007,12.13656,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2008,13.10506,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2009,19.75389,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2010,15.77551,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2011,18.44187,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2012,19.97311,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2013,21.68472,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2014,18.68206,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2015,11.26415,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2016,8.0169,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2017,9.91406,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2018,14.61436,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2019,20.34949,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2020,18.44821,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2021,20.25887,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
2022,13.76176,Милиони константни амерички долари,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2022.)"
