Year,Value,UNIT_MEASURE,SERIES
2000,0.89941,Индеx,Индекс црвене листе
2001,0.89931,Индеx,Индекс црвене листе
2002,0.89921,Индеx,Индекс црвене листе
2003,0.89917,Индеx,Индекс црвене листе
2004,0.89917,Индеx,Индекс црвене листе
2005,0.8992,Индеx,Индекс црвене листе
2006,0.89922,Индеx,Индекс црвене листе
2007,0.89927,Индеx,Индекс црвене листе
2008,0.89931,Индеx,Индекс црвене листе
2009,0.89935,Индеx,Индекс црвене листе
2010,0.89938,Индеx,Индекс црвене листе
2011,0.89941,Индеx,Индекс црвене листе
2012,0.89946,Индеx,Индекс црвене листе
2013,0.89949,Индеx,Индекс црвене листе
2014,0.89951,Индеx,Индекс црвене листе
2015,0.89954,Индеx,Индекс црвене листе
2016,0.89958,Индеx,Индекс црвене листе
2017,0.89962,Индеx,Индекс црвене листе
2018,0.89966,Индеx,Индекс црвене листе
2019,0.8997,Индеx,Индекс црвене листе
2020,0.89973,Индеx,Индекс црвене листе
2021,0.89975,Индеx,Индекс црвене листе
