Year,Value,UNIT_MEASURE,SERIES
2000,0.8994,IX,Индекс црвене листе
2001,0.8992,IX,Индекс црвене листе
2002,0.8992,IX,Индекс црвене листе
2003,0.8992,IX,Индекс црвене листе
2004,0.89917,IX,Индекс црвене листе
2005,0.8992,IX,Индекс црвене листе
2006,0.8992,IX,Индекс црвене листе
2007,0.89927,IX,Индекс црвене листе
2008,0.89931,IX,Индекс црвене листе
2009,0.89934,IX,Индекс црвене листе
2010,0.89936,IX,Индекс црвене листе
2011,0.89941,IX,Индекс црвене листе
2012,0.89945,IX,Индекс црвене листе
2013,0.89948,IX,Индекс црвене листе
2014,0.89951,IX,Индекс црвене листе
2015,0.8995,IX,Индекс црвене листе
2016,0.8996,IX,Индекс црвене листе
2017,0.8996,IX,Индекс црвене листе
2018,0.8996,IX,Индекс црвене листе
2019,0.8997,IX,Индекс црвене листе
2020,0.8997,IX,Индекс црвене листе
2021,0.8997,IX,Индекс црвене листе
