Year,Value,UNIT_MEASURE,SERIES
2010,-1.13,Индеx,Индекс потрошачких цијена хране
2011,0.41,Индеx,Индекс потрошачких цијена хране
2012,-0.19,Индеx,Индекс потрошачких цијена хране
2013,-0.42,Индеx,Индекс потрошачких цијена хране
2014,-0.59,Индеx,Индекс потрошачких цијена хране
2015,-0.025,Индеx,Индекс потрошачких цијена хране
2016,-0.04,Индеx,Индекс потрошачких цијена хране
2017,0.31,Индеx,Индекс потрошачких цијена хране
2018,-0.59,Индеx,Индекс потрошачких цијена хране
2019,0.31,Индеx,Индекс потрошачких цијена хране
2020,1.12,Индеx,Индекс потрошачких цијена хране
2021,0.77,Индеx,Индекс потрошачких цијена хране
