Year,Value,UNIT_MEASURE,SERIES
2010,-1.158,Индеx,индекс потрошачких цијена хране
2011,0.404,Индеx,индекс потрошачких цијена хране
2012,-0.197,Индеx,индекс потрошачких цијена хране
2013,-0.415,Индеx,индекс потрошачких цијена хране
2014,-0.612,Индеx,индекс потрошачких цијена хране
2015,-0.025,Индеx,индекс потрошачких цијена хране
2016,-0.056,Индеx,индекс потрошачких цијена хране
2017,0.281,Индеx,индекс потрошачких цијена хране
2018,-0.582,Индеx,индекс потрошачких цијена хране
2019,0.281,Индеx,индекс потрошачких цијена хране
2020,1.085,Индеx,индекс потрошачких цијена хране
