Year,Value,UNIT_MEASURE,SERIES
2003,61.59419,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2004,63.42766,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2005,67.1423,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2006,178.23305,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2007,198.03677,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2012,160.13994,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2013,233.86738,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2014,292.38061,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2015,365.22839,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2016,419.99063,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2017,485.42082,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
2018,471.2501,На милион становника,Истраживачи (у еквиваленту пуног радног времена) на милион становника
