Year,Value,UNIT_MEASURE,SERIES
2015,0.0402,Проценат,Субвенције за фосилна горива (потрошња и производња) као пропорција укупног БДП-а (%)
2016,0.0473,Проценат,Субвенције за фосилна горива (потрошња и производња) као пропорција укупног БДП-а (%)
2017,0.074,Проценат,Субвенције за фосилна горива (потрошња и производња) као пропорција укупног БДП-а (%)
2018,0.0762,Проценат,Субвенције за фосилна горива (потрошња и производња) као пропорција укупног БДП-а (%)
2019,0.2181,Проценат,Субвенције за фосилна горива (потрошња и производња) као пропорција укупног БДП-а (%)
2020,0.0975,Проценат,Субвенције за фосилна горива (потрошња и производња) као пропорција укупног БДП-а (%)
2015,0.0065,(милијарде номиналних америчких долара),Субвенције за фосилна горива (потрошња и производња) (милијарде номиналних америчких долара)
2016,0.0079,(милијарде номиналних америчких долара),Субвенције за фосилна горива (потрошња и производња) (милијарде номиналних америчких долара)
2017,0.0128,(милијарде номиналних америчких долара),Субвенције за фосилна горива (потрошња и производња) (милијарде номиналних америчких долара)
2018,0.0173,(милијарде номиналних америчких долара),Субвенције за фосилна горива (потрошња и производња) (милијарде номиналних америчких долара)
2019,0.0401,(милијарде номиналних америчких долара),Субвенције за фосилна горива (потрошња и производња) (милијарде номиналних америчких долара)
2020,0.0154,(милијарде номиналних америчких долара),Субвенције за фосилна горива (потрошња и производња) (милијарде номиналних америчких долара)
2015,1.9006,(текући амерички долари),Субвенције за фосилна горива (потрошња и производња) по глави становника (номинални амерички долари)
2016,2.3362,(текући амерички долари),Субвенције за фосилна горива (потрошња и производња) по глави становника (номинални амерички долари)
2017,3.8076,(текући амерички долари),Субвенције за фосилна горива (потрошња и производња) по глави становника (номинални амерички долари)
2018,4.1058,(текући амерички долари),Субвенције за фосилна горива (потрошња и производња) по глави становника (номинални амерички долари)
2019,12.1625,(текући амерички долари),Субвенције за фосилна горива (потрошња и производња) по глави становника (номинални амерички долари)
2020,4.6957,(текући амерички долари),Субвенције за фосилна горива (потрошња и производња) по глави становника (номинални амерички долари)
