Year,Value,UNIT_MEASURE,SERIES
2003,23.9562657328075,Проценат,Укупни приходи државе као удио у БДП-у
2004,22.8445369491468,Проценат,Укупни приходи државе као удио у БДП-у
2005,41.4129818899751,Проценат,Укупни приходи државе као удио у БДП-у
2006,44.2008029040042,Проценат,Укупни приходи државе као удио у БДП-у
2007,44.9060770735408,Проценат,Укупни приходи државе као удио у БДП-у
2008,43.6400967955669,Проценат,Укупни приходи државе као удио у БДП-у
2009,41.7375095023106,Проценат,Укупни приходи државе као удио у БДП-у
2010,42.8563874887263,Проценат,Укупни приходи државе као удио у БДП-у
2011,43.3316157280503,Проценат,Укупни приходи државе као удио у БДП-у
2012,43.7502030221352,Проценат,Укупни приходи државе као удио у БДП-у
2013,42.6582565862232,Проценат,Укупни приходи државе као удио у БДП-у
2014,43.8087208477132,Проценат,Укупни приходи државе као удио у БДП-у
2015,43.1510838982097,Проценат,Укупни приходи државе као удио у БДП-у
2016,42.7014657297644,Проценат,Укупни приходи државе као удио у БДП-у
2017,42.9602093929945,Проценат,Укупни приходи државе као удио у БДП-у
2018,43.1099367097622,Проценат,Укупни приходи државе као удио у БДП-у
2018,43.3023112377387,Проценат,Укупни приходи државе као удио у БДП-у
2003,3519.07794461,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2004,3654.70271678,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2005,7122.06300173,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2006,8586.44070901,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2007,9832.69537387,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2008,10903.09216344,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2009,10342.52514245,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2010,10862.59087389,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2011,11357.055059,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2012,11459.515307,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2013,11408.133899,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2014,11961.69050042,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2015,12335.08718397,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2016,12767.3368594217,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2017,13479.29720672,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2018,14402.25875764,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
2019,15018.09908774,Локална валута (милиони),"Укупни државни приходи, у локалној валути"
