Year,Value,UNIT_MEASURE,SERIES
2000,19.35,Проценат,EG_FEC_RNEW
2001,20.27,Проценат,EG_FEC_RNEW
2002,21.21,Проценат,EG_FEC_RNEW
2003,20.14,Проценат,EG_FEC_RNEW
2004,20.1,Проценат,EG_FEC_RNEW
2005,19.73,Проценат,EG_FEC_RNEW
2006,18.12,Проценат,EG_FEC_RNEW
2007,14.84,Проценат,EG_FEC_RNEW
2008,14.28,Проценат,EG_FEC_RNEW
2009,17.43,Проценат,EG_FEC_RNEW
2010,19.57,Проценат,EG_FEC_RNEW
2011,14.16,Проценат,EG_FEC_RNEW
2012,15.28,Проценат,EG_FEC_RNEW
2013,19.48,Проценат,EG_FEC_RNEW
2014,23.68,Проценат,EG_FEC_RNEW
2015,25.28,Проценат,EG_FEC_RNEW
2016,23.05,Проценат,EG_FEC_RNEW
2017,18.79,Проценат,EG_FEC_RNEW
