Year,SERIES,UNIT_MEASURE,Године,Пол,COMPOSITE_BREAKDOWN,Value
2016,SH_SUD_ALCOL,Проценат,15 година и више,Оба пола или без подјеле по полу,,6.0
2016,SH_SUD_ALCOL,Проценат,15 година и више,Жене,,2.2
2016,SH_SUD_ALCOL,Проценат,15 година и више,Мушкарци,,9.8
2017,SH_SUD_TREAT,Проценат,,Оба пола или без подјеле по полу,Стимуланси типа амфетамина АТС,0.39
2018,SH_SUD_TREAT,Проценат,,Оба пола или без подјеле по полу,Стимуланси типа амфетамина АТС,0.44
2019,SH_SUD_TREAT,Проценат,,Оба пола или без подјеле по полу,Стимуланси типа амфетамина АТС,0.45
2017,SH_SUD_TREAT,Проценат,,Жене,Стимуланси типа амфетамина АТС,0.08
2018,SH_SUD_TREAT,Проценат,,Жене,Стимуланси типа амфетамина АТС,0.09
2019,SH_SUD_TREAT,Проценат,,Жене,Стимуланси типа амфетамина АТС,0.09
2017,SH_SUD_TREAT,Проценат,,Мушкарци,Стимуланси типа амфетамина АТС,0.69
2018,SH_SUD_TREAT,Проценат,,Мушкарци,Стимуланси типа амфетамина АТС,0.8
2019,SH_SUD_TREAT,Проценат,,Мушкарци,Стимуланси типа амфетамина АТС,0.83
2017,SH_SUD_TREAT,Проценат,,Оба пола или без подјеле по полу,Кокаин,0.55
2018,SH_SUD_TREAT,Проценат,,Оба пола или без подјеле по полу,Кокаин,0.55
2019,SH_SUD_TREAT,Проценат,,Оба пола или без подјеле по полу,Кокаин,0.56
2017,SH_SUD_TREAT,Проценат,,Мушкарци,Кокаин,0.81
2018,SH_SUD_TREAT,Проценат,,Мушкарци,Кокаин,0.83
2019,SH_SUD_TREAT,Проценат,,Мушкарци,Кокаин,0.85
2019,SH_SUD_TREAT,Проценат,,Оба пола или без подјеле по полу,"Укупно дрога (укључујући АТС, опиате, кокаин, канабис и друге дроге)",4.5
2019,SH_SUD_TREAT,Проценат,,Жене,"Укупно дрога (укључујући АТС, опиате, кокаин, канабис и друге дроге)",1.1
2019,SH_SUD_TREAT,Проценат,,Мушкарци,"Укупно дрога (укључујући АТС, опиате, кокаин, канабис и друге дроге)",6.63
2019,SH_SUD_TREAT,Проценат,,Оба пола или без подјеле по полу,Опијати,13.1
