Year,SERIES,UNIT_MEASURE,Године,Value
2009,Удио радне снаге у БДП-у,Проценат,15 година и више,56.7
2010,Удио радне снаге у БДП-у,Проценат,15 година и више,55.9
2011,Удио радне снаге у БДП-у,Проценат,15 година и више,55.9
2014,Удио радне снаге у БДП-у,Проценат,15 година и више,55.4
2015,Удио радне снаге у БДП-у,Проценат,15 година и више,55.1
2016,Удио радне снаге у БДП-у,Проценат,15 година и више,53.6
2017,Удио радне снаге у БДП-у,Проценат,15 година и више,52.3
2018,Удио радне снаге у БДП-у,Проценат,15 година и више,51.5
2019,Удио радне снаге у БДП-у,Проценат,15 година и више,52.8
2021,Удио радне снаге у БДП-у,Проценат,15 година и више,52.3
