Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2000,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,16.6
2001,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,17.4
2002,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,18.7
2003,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,17.4
2004,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,17.2
2005,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,16.5
2006,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,16.4
2007,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,15.2
2008,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,15.8
2009,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,14.8
2010,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,13.5
2011,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,12.2
2012,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,12.3
2013,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,11.0
2014,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,10.7
2015,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,10.5
2016,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,11.0
2017,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,10.7
2018,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,9.9
2019,Стопа наталитета адолесцената (на 1.000 жена старих 15-19 година),На 1.000 становника,15 до 19 година,Жене,10.1
