Year,SERIES,UNIT_MEASURE,Value
2003,GR_G14_GDP,Проценат,23.9562657328075
2004,GR_G14_GDP,Проценат,22.8445369491468
2005,GR_G14_GDP,Проценат,41.4129818899751
2006,GR_G14_GDP,Проценат,44.2008029040042
2007,GR_G14_GDP,Проценат,44.9060770735408
2008,GR_G14_GDP,Проценат,43.6400967955669
2009,GR_G14_GDP,Проценат,41.7375095023106
2010,GR_G14_GDP,Проценат,42.8563874887263
2011,GR_G14_GDP,Проценат,43.3316157280503
2012,GR_G14_GDP,Проценат,43.7502030221352
2013,GR_G14_GDP,Проценат,42.6582565862232
2014,GR_G14_GDP,Проценат,43.8087208477132
2015,GR_G14_GDP,Проценат,43.1510838982097
2016,GR_G14_GDP,Проценат,42.7014657297644
2017,GR_G14_GDP,Проценат,42.9602093929945
2018,GR_G14_GDP,Проценат,43.1099367097622
2003,GR_G14_XDC,Локална валута (милиони),3519.1
2004,GR_G14_XDC,Локална валута (милиони),3654.7
2005,GR_G14_XDC,Локална валута (милиони),7122.1
2006,GR_G14_XDC,Локална валута (милиони),8586.4
2007,GR_G14_XDC,Локална валута (милиони),9832.7
2008,GR_G14_XDC,Локална валута (милиони),10903.1
2009,GR_G14_XDC,Локална валута (милиони),10342.5
2010,GR_G14_XDC,Локална валута (милиони),10862.6
2011,GR_G14_XDC,Локална валута (милиони),11357.1
2012,GR_G14_XDC,Локална валута (милиони),11459.5
2013,GR_G14_XDC,Локална валута (милиони),11408.1
2014,GR_G14_XDC,Локална валута (милиони),11961.7
2015,GR_G14_XDC,Локална валута (милиони),12335.1
2016,GR_G14_XDC,Локална валута (милиони),12767.3
2017,GR_G14_XDC,Локална валута (милиони),13479.3
2018,GR_G14_XDC,Локална валута (милиони),14402.3
