Year,SERIES,UNIT_MEASURE,Пол,Године,Value
2006,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,34.7
2007,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,31.3
2008,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,26.4
2009,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,25.5
2010,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,28.3
2011,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,27.8
2012,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,28.5
2013,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,26.0
2014,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,26.3
2015,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,28.1
2016,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,27.0
2017,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,24.5
2018,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,22.1
2019,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,21.2
2020,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,21.8
2021,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Оба пола или без подјеле по полу,15 до 24 године,19.3
2006,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,36.27
2007,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,32.48
2008,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,28.73
2009,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,26.4
2010,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,28.6
2011,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,26.69
2012,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,26.63
2013,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,24.87
2014,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,24.92
2015,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,26.54
2016,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,25.38
2017,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,25.08
2018,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,22.15
2019,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,22.72
2020,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,23.27
2021,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Жене,15 до 24 године,19.87
2006,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,34.74
2007,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,32.24
2008,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,26.16
2009,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,26.84
2010,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,28.85
2011,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,29.79
2012,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,31.19
2013,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,28.23
2014,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,29.05
2015,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,29.94
2016,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,28.6
2017,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,25.86
2018,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,23.1
2019,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,22.5
2020,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,20.41
2021,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком",Проценат,Мушкарци,15 до 24 године,18.77
2021,SL_TLF_NEET_19ICLS,Проценат,Оба пола или без подјеле по полу,15 до 24 године,20.16
2021,SL_TLF_NEET_19ICLS,Проценат,Жене,15 до 24 године,20.63
2021,SL_TLF_NEET_19ICLS,Проценат,Мушкарци,15 до 24 године,19.72
