Year,SERIES,UNIT_MEASURE,Пол,Value
2010, VC_PRS_UNSNT,Проценат,Оба пола или без подјеле по полу,17.9
2011, VC_PRS_UNSNT,Проценат,Оба пола или без подјеле по полу,14.58
2012, VC_PRS_UNSNT,Проценат,Оба пола или без подјеле по полу,12.09
2013, VC_PRS_UNSNT,Проценат,Оба пола или без подјеле по полу,11.66
2014, VC_PRS_UNSNT,Проценат,Оба пола или без подјеле по полу,12.14
2015, VC_PRS_UNSNT,Проценат,Оба пола или без подјеле по полу,15.05
2016, VC_PRS_UNSNT,Проценат,Оба пола или без подјеле по полу,15.36
2017, VC_PRS_UNSNT,Проценат,Оба пола или без подјеле по полу,15.43
2018, VC_PRS_UNSNT,Проценат,Оба пола или без подјеле по полу,28.08
2019, VC_PRS_UNSNT,Проценат,Оба пола или без подјеле по полу,31.82
2020, VC_PRS_UNSNT,Проценат,Оба пола или без подјеле по полу,27.05
2019, VC_PRS_UNSNT,Проценат,Жене,50.46
2019, VC_PRS_UNSNT,Проценат,Мушкарци,31.35
