Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2017,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Економски и социјални савјет УН-а,1.85185
2000,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.54945
2005,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.54348
2010,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.53476
2015,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.53191
2016,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.53191
2017,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.5291
2018,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.5291
2019,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.529
2000,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.57471
2005,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.5618
2010,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.54945
2015,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.54348
2016,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.54348
2017,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.54348
2018,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.54348
2019,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.543
2000,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.5618
2005,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.55249
2010,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.54945
2015,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.53191
