Year,SERIES,UNIT_MEASURE,Године,Пол,Степен урбанизације,Value
2015,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Жене,Сва подручја,9.8
2016,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Жене,Сва подручја,9.3
2017,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Жене,Сва подручја,8.0
2018,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Жене,Сва подручја,8.4
2019,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Жене,Сва подручја,10.4
2020,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Жене,Сва подручја,13.9
2021,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Жене,Сва подручја,15.5
2022,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Жене,Сва подручја,15.6
2015,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,9.4
2016,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,11.2
2017,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,9.4
2018,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,9.9
2019,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,9.7
2020,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,11.2
2021,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,11.3
2022,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,10.9
2015,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,9.6
2016,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,10.3
2017,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,8.7
2018,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,9.2
2019,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,10.0
2020,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,12.6
2021,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,13.4
2022,Преваленција умјерене или озбиљне несигурности хране у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,13.3
2015,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Жене,Сва подручја,1.4
2016,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Жене,Сва подручја,1.4
2017,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Жене,Сва подручја,1.0
2018,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Жене,Сва подручја,1.3
2019,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Жене,Сва подручја,1.9
2020,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Жене,Сва подручја,2.7
2021,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Жене,Сва подручја,3.4
2022,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Жене,Сва подручја,3.3
2015,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,1.7
2016,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,2.1
2017,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,1.6
2018,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,1.7
2019,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,2.0
2020,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,2.8
2021,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,2.9
2022,Преваленција озбиљне несигурности храном у популацији (%),Проценат,15 година и више,Мушкарци,Сва подручја,2.2
2015,Преваленција озбиљне несигурности храном у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,1.5
2016,Преваленција озбиљне несигурности храном у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,1.8
2017,Преваленција озбиљне несигурности храном у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,1.3
2018,Преваленција озбиљне несигурности храном у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,1.5
2019,Преваленција озбиљне несигурности храном у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,1.9
2020,Преваленција озбиљне несигурности храном у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,2.8
2021,Преваленција озбиљне несигурности храном у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,3.1
2022,Преваленција озбиљне несигурности храном у популацији (%),Проценат,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,Сва подручја,2.8
2015,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Жене,,150.8
2016,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Жене,,141.0
2017,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Жене,,119.2
2018,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Жене,,124.9
2019,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Жене,,151.6
2020,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Жене,,201.0
2021,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Жене,,221.1
2022,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Жене,,219.8
2015,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,136.2
2016,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,161.5
2017,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,134.0
2018,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,140.0
2019,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,135.4
2020,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,154.5
2021,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,154.4
2022,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,147.1
2015,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,338.2
2016,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,357.5
2017,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,298.7
2018,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,312.4
2019,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,337.3
2020,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,417.0
2021,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,440.1
2022,Популација у умјереној или озбиљној несигурности хране (хиљаде људи),Хиљаде,Сви старосни распони или нема подјеле по годинама,Оба пола или без подјеле по полу,,429.9
2015,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2016,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2017,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2018,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2019,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2020,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2021,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2022,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Жене,,100.0
2015,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,100.0
2016,Популација у озбиљној несигурности у погледу хране (хиљаде људи),Хиљаде,15 година и више,Мушкарци,,100.0
