Year,SERIES,UNIT_MEASURE,Године,Value
2000,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (број),Хиљаде,Испод 5 година,38.20568
2006,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (број),Хиљаде,Испод 5 година,42.34844
2012,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (број),Хиљаде,Испод 5 година,31.75099
2000,Дјеца умјерено или озбиљно исцрпљена (број),Хиљаде,Испод 5 година,17.26603
2006,Дјеца умјерено или озбиљно исцрпљена (број),Хиљаде,Испод 5 година,6.65197
2012,Дјеца умјерено или озбиљно исцрпљена (број),Хиљаде,Испод 5 година,4.29692
2000,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,Проценат,Испод 5 година,16.3
2006,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,Проценат,Испод 5 година,25.7
2012,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,Проценат,Испод 5 година,17.4
2000,Удио дјеце која су умјерено или озбиљно исцрпљена,Проценат,Испод 5 година,7.36389
2006,Удио дјеце која су умјерено или озбиљно исцрпљена,Проценат,Испод 5 година,4.03126
2012,Удио дјеце која су умјерено или озбиљно исцрпљена,Проценат,Испод 5 година,2.34816
