Year,SERIES,UNIT_MEASURE,Value
2000,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,60.0
2001,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,80.0
2002,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,90.0
2003,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,93.0
2004,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,95.0
2005,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,97.0
2006,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,99.0
2007,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,99.0
2008,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,99.3
2009,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,99.5
2010,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,99.7
2011,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,99.7
2012,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,99.8
2013,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,99.8
2014,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,99.8
2015,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,100.0
2016,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,100.0
2017,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,100.0
2018,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,100.0
2019,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,100.0
2020,Удио становништва покривен најмање 2G мобилном мрежом,Проценат,100.0
2009,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,25.0
2010,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,60.0
2011,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,70.0
2012,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,72.0
2013,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,90.0
2014,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,95.0
2015,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,95.0
2016,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,95.0
2017,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,95.0
2018,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,95.0
2019,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,95.0
2020,Удио становништва покривен најмање 3G мобилном мрежом,Проценат,95.0
2014,Удио становништва покривен најмање 4G мобилном мрежом,Проценат,0.0
2015,Удио становништва покривен најмање 4G мобилном мрежом,Проценат,0.0
2016,Удио становништва покривен најмање 4G мобилном мрежом,Проценат,0.0
2017,Удио становништва покривен најмање 4G мобилном мрежом,Проценат,0.0
2018,Удио становништва покривен најмање 4G мобилном мрежом,Проценат,0.0
2019,Удио становништва покривен најмање 4G мобилном мрежом,Проценат,82.0
2020,Удио становништва покривен најмање 4G мобилном мрежом,Проценат,82.0
