Year,SERIES,UNIT_MEASURE,Value
2000,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,9.0118
2001,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,5.34383
2002,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,5.43791
2003,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,9.14858
2004,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,4.57769
2005,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,4.83248
2006,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,18.16482
2007,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,11.42505
2008,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,6.98618
2009,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,2.61981
2010,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,7.80168
2011,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,6.04845
2012,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,6.62092
2013,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,5.5622
2014,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,10.99833
2015,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,5.19602
2016,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,37.98346
2017,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,36.07086
2018,"Укупна званична развојна помоћ медицинским истраживањима и основним здравственим секторима, бруто исплата, према земљама примаоцима",Амерички долар,13.08596
