Year,SERIES,UNIT_MEASURE,Value
2014,Рециклажа електронског отпада (тоне),Тоне,1108.73
2015,Рециклажа електронског отпада (тоне),Тоне,1157.02
2016,Рециклажа електронског отпада (тоне),Тоне,1197.58
2017,Рециклажа електронског отпада (тоне),Тоне,1237.93
2018,Рециклажа електронског отпада (тоне),Тоне,1271.2
2019,Рециклажа електронског отпада (тоне),Тоне,1310.05
2014,"Рециклажа електронског отпада, по становнику (Kg)",Килограми,0.318407021497909
2015,"Рециклажа електронског отпада, по становнику (Kg)",Килограми,0.337387641782932
2016,"Рециклажа електронског отпада, по становнику (Kg)",Килограми,0.3536585660948359
2017,"Рециклажа електронског отпада, по становнику (Kg)",Килограми,0.369362624696631
2018,"Рециклажа електронског отпада, по становнику (Kg)",Килограми,0.382439398976331
2019,"Рециклажа електронског отпада, по становнику (Kg)",Килограми,0.396865579742853
2014,"Рециклажа електронског отпада, стопа (%)",Проценат,4.799937
