Year,SERIES,UNIT_MEASURE,Value
2000,EG_EGY_CLEAN,Проценат,52
2001,EG_EGY_CLEAN,Проценат,51
2002,EG_EGY_CLEAN,Проценат,51
2003,EG_EGY_CLEAN,Проценат,50
2004,EG_EGY_CLEAN,Проценат,50
2005,EG_EGY_CLEAN,Проценат,49
2006,EG_EGY_CLEAN,Проценат,48
2007,EG_EGY_CLEAN,Проценат,47
2008,EG_EGY_CLEAN,Проценат,46
2009,EG_EGY_CLEAN,Проценат,45
2010,EG_EGY_CLEAN,Проценат,44
2011,EG_EGY_CLEAN,Проценат,44
2012,EG_EGY_CLEAN,Проценат,44
2013,EG_EGY_CLEAN,Проценат,43
2014,EG_EGY_CLEAN,Проценат,43
2015,EG_EGY_CLEAN,Проценат,45
2016,EG_EGY_CLEAN,Проценат,44
2017,EG_EGY_CLEAN,Проценат,44
2018,EG_EGY_CLEAN,Проценат,45
