Year,SERIES,UNIT_MEASURE,Value
2005,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,196.802768
2006,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,199.240905
2007,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,198.621679
2008,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,195.98815
2009,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,196.755711
2010,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,195.980924
2011,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,194.373977
2012,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,192.717187
2013,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,191.539535
2014,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,194.156985
2015,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,196.933384
2016,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,198.21211
2017,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,200.734893
2018,Опсег водног тијела (трајни и можда трајних) (квадратни километри),Квадратних километара,203.146127
2005,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.384224244140625
2006,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.389043779296875
2007,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.3878929335937499
2008,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.3827478632812499
2009,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.3842341425781249
2010,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.3827234374999999
2011,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.379595548828125
2012,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.3763736894531249
2013,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.3740766289062499
2014,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.37920499609375
2015,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.3846276425781249
2016,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.387125658203125
2017,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.39205578515625
2018,Опсег водног тијела (трајни) (% укупне површине копна),Проценат,0.39676751171875
2005,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,196.722813
2006,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,199.190415
2007,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,198.601182
2008,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,195.966906
2009,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,196.727881
2010,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,195.9544
2011,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,194.352921
2012,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,192.703329
2013,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,191.527234
2014,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,194.152958
2015,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,196.929353
2016,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,198.208337
2017,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,200.732562
2018,Опсег водног тијела (трајни) (квадратни километри),Квадратних километара,203.144966
